KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,Mo_Nb,frst_flt_ind,dom_int,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,,,,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,,DC,2.0,,DC,,,,,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,,DL,2.0,,DL,,,,,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,DC,9E,3.0,,DC,9E,,,,,,68.18,173887,255057,71.58,5.00%,0.38902635464674035,182581.35,255057,Cascaded,2027,182581.35,255057
D0,DC,OO,3.0,,DC,OO,,,,,,76.15,202822,266353,79.96,5.00%,0.45376079466642805,212963.1,266353,Cascaded,2027,212963.1,266353
D0,DC,YX,3.0,,DC,YX,,,,,,71.25,70567,99039,74.81,5.00%,0.15787507271018839,74095.35,99039,Cascaded,2027,74095.35,99039
D0,DL,DL,3.0,,DL,DL,,,,,,66.24,770092,1162503,69.56,5.00%,1.000145458323593,808596.6,1162503,Cascaded,2027,808596.6,1162503
D0,DC/9E,1,4.0,,DC,9E,1,,,,,69.33,13590,19601,72.8,5.00%,0.0781542035919879,14269.5,19601,Cascaded,2027,14269.5,19601
D0,DC/9E,2,4.0,,DC,9E,2,,,,,72.82,13558,18619,76.46,5.00%,0.07797017603386107,14235.9,18619,Cascaded,2027,28505.4,38220
D0,DC/9E,3,4.0,,DC,9E,3,,,,,62.53,13974,22347,65.66,5.00%,0.08036253428950986,14672.7,22347,Cascaded,2027,43178.1,60567
D0,DC/9E,4,4.0,,DC,9E,4,,,,,69.41,15774,22725,72.88,5.00%,0.09071408443414401,16562.7,22725,Cascaded,2027,59740.8,83292
D0,DC/9E,5,4.0,,DC,9E,5,,,,,68.33,15354,22470,71.75,5.00%,0.08829872273372938,16121.7,22470,Cascaded,2027,75862.5,105762
D0,DC/9E,6,4.0,,DC,9E,6,,,,,59.73,12430,20810,62.72,5.00%,0.07148320460989033,13051.5,20810,Cascaded,2027,88914.0,126572
D0,DC/9E,7,4.0,,DC,9E,7,,,,,62.01,13325,21488,65.11,5.00%,0.0766302253762501,13991.25,21488,Cascaded,2027,102905.25,148060
D0,DC/9E,8,4.0,,DC,9E,8,,,,,73.81,16699,22624,77.5,5.00%,0.09603363103624768,17533.95,22624,Cascaded,2027,120439.20000000001,170684
D0,DC/9E,9,4.0,,DC,9E,9,,,,,79.94,17084,21370,83.94,5.00%,0.0982477125949611,17938.2,21370,Cascaded,2027,138377.4,192054
D0,DC/9E,10,4.0,,DC,9E,10,,,,,75.52,16767,22202,79.3,5.00%,0.09642468959726719,17605.35,22202,Cascaded,2027,155982.75,214256
D0,DC/9E,11,4.0,,DC,9E,11,,,,,70.02,13870,19808,73.52,5.00%,0.07976444472559766,14563.5,19808,Cascaded,2027,170546.25,234064
D0,DC/9E,12,4.0,,DC,9E,12,,,,,54.6,11462,20993,57.33,5.00%,0.06591637097655374,12035.1,20993,Cascaded,2027,182581.35,255057
D0,DC/OO,1,4.0,,DC,OO,1,,,,,68.61,14057,20487,72.04,5.00%,0.06930707714153297,14759.85,20487,Cascaded,2027,14759.85,20487
D0,DC/OO,2,4.0,,DC,OO,2,,,,,72.88,14413,19776,76.53,5.00%,0.07106231079468697,15133.65,19776,Cascaded,2027,29893.5,40263
D0,DC/OO,3,4.0,,DC,OO,3,,,,,70.89,16206,22862,74.43,5.00%,0.07990257467138673,17016.3,22862,Cascaded,2027,46909.8,63125
D0,DC/OO,4,4.0,,DC,OO,4,,,,,79.33,18199,22941,83.3,5.00%,0.08972892487008313,19108.95,22941,Cascaded,2027,66018.75,86066
D0,DC/OO,5,4.0,,DC,OO,5,,,,,78.61,18077,22995,82.54,5.00%,0.08912741221366519,18980.85,22995,Cascaded,2027,84999.6,109061
D0,DC/OO,6,4.0,,DC,OO,6,,,,,74.45,17300,23238,78.17,5.00%,0.08529646685270828,18165.0,23238,Cascaded,2027,103164.6,132299
D0,DC/OO,7,4.0,,DC,OO,7,,,,,73.84,17491,23689,77.53,5.00%,0.08623817929021507,18365.55,23689,Cascaded,2027,121530.15,155988
D0,DC/OO,8,4.0,,DC,OO,8,,,,,77.95,18392,23594,81.85,5.00%,0.09068049817080988,19311.6,23594,Cascaded,2027,140841.75,179582
D0,DC/OO,9,4.0,,DC,OO,9,,,,,84.15,18833,22381,88.35,5.00%,0.09285481851081244,19774.65,22381,Cascaded,2027,160616.4,201963
D0,DC/OO,10,4.0,,DC,OO,10,,,,,83.18,19323,23229,87.34,5.00%,0.09527072999970418,20289.15,23229,Cascaded,2027,180905.55000000002,225192
D0,DC/OO,11,4.0,,DC,OO,11,,,,,81.35,16498,20280,85.42,5.00%,0.08134226070150181,17322.9,20280,Cascaded,2027,198228.45,245472
D0,DC/OO,12,4.0,,DC,OO,12,,,,,67.2,14033,20881,70.56,5.00%,0.06918874678289337,14734.65,20881,Cascaded,2027,212963.1,266353
D0,DC/YX,1,4.0,,DC,YX,1,,,,,75.27,5466,7262,79.03,5.00%,0.07745830203919679,5739.3,7262,Cascaded,2027,5739.3,7262
D0,DC/YX,2,4.0,,DC,YX,2,,,,,74.89,5104,6815,78.64,5.00%,0.07232842546799495,5359.2,6815,Cascaded,2027,11098.5,14077
D0,DC/YX,3,4.0,,DC,YX,3,,,,,65.94,5447,8261,69.23,5.00%,0.07718905437385747,5719.35,8261,Cascaded,2027,16817.850000000002,22338
D0,DC/YX,4,4.0,,DC,YX,4,,,,,71.42,6300,8821,74.99,5.00%,0.0892768574546176,6615.0,8821,Cascaded,2027,23432.850000000002,31159
D0,DC/YX,5,4.0,,DC,YX,5,,,,,73.72,6547,8881,77.41,5.00%,0.0927770771040288,6874.35,8881,Cascaded,2027,30307.200000000004,40040
D0,DC/YX,6,4.0,,DC,YX,6,,,,,68.51,5894,8603,71.94,5.00%,0.0835234599742089,6188.7,8603,Cascaded,2027,36495.9,48643
D0,DC/YX,7,4.0,,DC,YX,7,,,,,65.63,5722,8718,68.92,5.00%,0.0810860600564003,6008.1,8718,Cascaded,2027,42504.0,57361
D0,DC/YX,8,4.0,,DC,YX,8,,,,,78.46,7007,8931,82.38,5.00%,0.09929570479119135,7357.35,8931,Cascaded,2027,49861.350000000006,66292
D0,DC/YX,9,4.0,,DC,YX,9,,,,,73.27,6179,8433,76.94,5.00%,0.08756217495429876,6487.95,8433,Cascaded,2027,56349.3,74725
D0,DC/YX,10,4.0,,DC,YX,10,,,,,69.75,6054,8680,73.23,5.00%,0.0857908087349611,6356.7,8680,Cascaded,2027,62706.00000000001,83405
D0,DC/YX,11,4.0,,DC,YX,11,,,,,73.61,5660,7689,77.29,5.00%,0.08020746241160882,5943.0,7689,Cascaded,2027,68649.0,91094
D0,DC/YX,12,4.0,,DC,YX,12,,,,,65.29,5187,7945,68.55,5.00%,0.07350461263763515,5446.35,7945,Cascaded,2027,74095.35,99039
D0,DL/DL,1,4.0,,DL,DL,1,,,,,64.46,56940,88329,67.69,5.00%,0.07393921765191691,59787.0,88329,Cascaded,2027,59787.0,88329
D0,DL/DL,2,4.0,,DL,DL,2,,,,,68.04,56904,83629,71.45,5.00%,0.07389246999059852,59749.2,83629,Cascaded,2027,119536.2,171958
D0,DL/DL,3,4.0,,DL,DL,3,,,,,65.33,63359,96988,68.59,5.00%,0.08227458537421503,66526.95,96988,Cascaded,2027,186063.15,268946
D0,DL/DL,4,4.0,,DL,DL,4,,,,,72.6,71643,98679,76.23,5.00%,0.09303174166203519,75225.15,98679,Cascaded,2027,261288.3,367625
D0,DL/DL,5,4.0,,DL,DL,5,,,,,67.54,67446,99861,70.92,5.00%,0.0875817434799998,70818.3,99861,Cascaded,2027,332106.6,467486
D0,DL/DL,6,4.0,,DL,DL,6,,,,,58.05,59373,102278,60.95,5.00%,0.0770985804293513,62341.65,102278,Cascaded,2027,394448.25,569764
D0,DL/DL,7,4.0,,DL,DL,7,,,,,59.41,62970,105994,62.38,5.00%,0.08176945092274689,66118.5,105994,Cascaded,2027,460566.75,675758
D0,DL/DL,8,4.0,,DL,DL,8,,,,,67.92,69360,102116,71.32,5.00%,0.09006716080676075,72828.0,102116,Cascaded,2027,533394.75,777874
D0,DL/DL,9,4.0,,DL,DL,9,,,,,75.02,72061,96057,78.77,5.00%,0.09357453395178758,75664.05,96057,Cascaded,2027,609058.8,873931
D0,DL/DL,10,4.0,,DL,DL,10,,,,,70.56,71098,100763,74.09,5.00%,0.0923240340115207,74652.9,100763,Cascaded,2027,683711.7,974694
D0,DL/DL,11,4.0,,DL,DL,11,,,,,70.12,65131,92890,73.62,5.00%,0.0845756091479979,68387.55,92890,Cascaded,2027,752099.25,1067584
